Author,Title,"Read? (y=yes, n=not going to, g=gave up)",Category,Read more by author?,I'm in it,Signed or Collectible,Comment
Carl Hiaasen,Skinny Dip,y,,,,,
Carl Hiaasen,Star Island,y,,,,,
Carl Hiaasen,Stormy Weather,y,,,,,
Carl Hiaasen,Strip Tease,y,,,,,
Carl Hiaasen,Tourist Season,y,,,,,
Carl Hiaasen,Trap Line,,,,,,
Carl Hiassen,Star Island,y,,,,,
Cecily von Ziegesar,Gossip Girl,y,,,,,
Charlene Li & Josh Bernoff,Groundswell,y ,social media,,,,
Charlene Li & Josh Bernoff,Marketing in the Groundswell,,,,,,
Charles Bukowski,Ham On Rye,,,,,,
Charles Bukowski,Post Office,,,,,,
Charles Darwin,Origin of the Species,,,,,,
Charles Dickens,Great Expectations,y,,,,,
Charles Dickens,Tale of Two Cities,y,,,,,
Charles Duhigg,The Power of Habit,y,,,,,
Charles Morris,The AARP,y,,,,,
Charles Stross,Accelerando,y,,y,,,
Charles Stross,Glasshouse,y,,,,,
Charles Stross,Halting State,y,,,,,
Charles Stross,Iron Sunrise,y,,,,,
Charles Stross,Singularity Sky,y,,,,,
Charles Stross,The Jennifer Morgue,y,,,,,
Charles Wheelan,The Centrist Manifesto,,,,,,
Chin-Ning Chu,"Thick Face, Black Heart",n,,,,,
China Meiville,Railsea,y,,y,,,
China Mieville,Embassytown,y,,,,,
China Mieville,Iron Council,y,,,,,
China Mieville,King Rat,y,,,,,
China Mieville,Kraken,y,,,,,
China Mieville,Perdido Street Station,y,,,,,
China Mieville,The City & The City,y,,,,,
China Mieville,The Scar,y,,,,,
China Mieville,This Census-Taker,,,,,,
China Mieville,Three Moments of an Explosion: Stories,,,,,,
Chip Conley,Emotional Equations,y,,,,,
Chip Conley,Peak,,,,,,
Chip Heath and Dan Heath,Made to Stick,y,communications,,,,
Chip Heath and Dan Heath,Switch,y ,,,,,
Chris Anderson,Free,,,,,,
Chris Anderson,The Long Tail,y,,,,,
Chris Morace,Transform,,,,,,
Chris Moriarty,Spin Control,y,,,,,
Chris Moriarty,Spin State,y,,,,,
"Chris Resto, Ian Ybarra, and Ramit Sethi",Recruit or Die,n,,,,,
Chris Sims,Scrum: a Breathtakingly Brief and Agile Introduction,,,,,,
Chris Sims,Scrum: A Breathtakingly Brief and Agile Introductions,,,,,,
Chris Sims,The Elements of Scrum,,,,,,
Christopher Alexander,"A Pattern Language: Towns, Buildings, Construction",,,,,,
Christopher Buckley,Boomsday,y,,x,,,
Christopher Buckley,Florence of Arabia,y,,,,,
Christopher Buckley,No Way to Treat a First Lady,,,,,,
Christopher Buckley,Supreme Courtship,y,,,,,
Christopher Buckley,Thank You for Smoking: A Novel,y,business humor,,,,
Christopher Buckley,The White House Mess,y,,,,,
Christopher Buckley,"They Eat Puppies, Don't They",y,,,,,
Christopher Hibbert ,The Story of England,y,,,,,
Christopher Hitchens,God is Not Great,,,,,,
Christopher Moore,A Dirty Job,,,,,,
Christopher Moore,Island of the Sequined Love Nun,,,,,,
Christopher Moore,Lamb,y,,,,,
Christopher Moore,Secondhand Souls: A Novel,,,,,,
Christopher Nuttall,Ark Royal,y,,,,,
Christopher Nuttall,The Nelson Touch,y,,,,,
Christopher Nuttall,The Trafalgar Gambit,y,,,,,
Christopher Shevlin,The Perpetual Astonishment of Jonathon Fairfax,,,,,,
Chuck Klosterman,"Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto",g,,,,,
Chuck Martin,Digital Estate,,,,,,
Chuck Martin,Net Future,,,,,,
Chuck Runyon,Working out Sucks,,,,,,
Cixin Liu,The Three-Body Problem,,,,,,
CK Prahalad,The Fortune at the Bottom of the Pyramid,n,,,,,
Clay Shirky,Here Comes Everybody,,WOM,,,,
Cory Doctorow,Down and Out in the Magic Kingdon,y,,x,,,
Cory Doctorow,Little Brother,y,,,,,
Cory Doctorow,Makers,y,,,,,
Cory Doctorow & Charles Stross,The Rapture of the Nerds,,,,,,
Craig Boreth,How to Feel Manly In Minivan,y,,,,,
Craig Boreth,How to Iron Your Own Damn Shirt,y,,,,,
Craig Ferguson,Between the Bridge and the River,y,,,,,
Curtis Gathje,At The Plaza,n,,,,,
Cy Adler,Walking Manhattan: The Great Saunter,y,,,,,
Dale Brown,Silver Tower,y ,,,,,
Dale Brown,Strike Force,y,,,,,
Dale Carnegie,How to Win Friends and Influence People,y,communications,,,,
Dan Arielly,Predictably Irrational,y,behavioral economics,,,,
Dan Arielly,The Upside of Irrationality,n,,,,,
Dan Brown,Angels and Demons,y,,y,,,
Dan Brown,Davinci Code,y,,,,,
Dan Brown,The Lost Symbol,y,,,,,
Dan Gillmor,"We The Media: Grassroots Journalism By the People, For the People",n,,,,,
Dan Harris,The War of Art,,,,,,
Dan Lyons,Disrupted: My Misadventure in the Start-Up Bubble,,,,,,
Dan Pashman,Eat More Better,,,,,,
Dan Roam,Back of the Napkin,y,presentations,,,,
Dan Roam,Blah Blah Blah,,,,,,
Dan Schawbel,Me 2.0,,,,,,
Dan Simmons,"Hyperion (Hyperion Cantos, Book 1)",,,,,,
Dan Wald,Ad Asylum,,,,,,
Daniel Edelman,Infoquake,y,,,,,
Daniel Lyons,Options: The Secret Life of Steve Jobs,,,,,,
Daniel Nissanoff,Future Shop,n,,,,,
Daniel Pink,Adventures of Johnny Bunko,y,hr,,,x,
Daniel Pink,To Sell is Human,,,,,,
Daniel Pinkwater,The Education of Robert Nifkin,,,,,,
Daniel Price,Slick,x,,,,,
Daniel Price,The Flight of the Silvers,x,,,,,
Daniel Suarez,Daemon,y,,,,,
Daniel Suarez,Freedom,y,,,,,
Daniel Wilson,How to Survive a Robot Uprising,y,,,,,
Danny Seo,Heaven on Earth,n,,,,,
Darren Rowse,Problogger,y,,,,,
Daryl Gregory,Afterparty,,,,,,
Dave Balter,Grapevine,y,,,,,
Dave Balter,Word of Mouth Manual Vol. 2,n,,,,,
Dave Barry,Big Trouble ,y,,y,,,
Dave Barry,Dave Barry's Money Secrets,y,,,,,
Dave Barry,Insane City,y,,,,,
Dave Barry,Lunatics,y,,,,,
Dave Barry,Science Fair,,,,,,
Dave Barry,Tricky Business,y,,,,,
Dave Eggers,A Hologram for the Kind,y,,,,,
Dave Eggers,Heartbreaking Work of Staggering Genius,y,,y,,,
Dave Eggers,The Circle,y,,,,,
Dave Eggers,Where the Wild Things Are,y,,,,,
Dave Eggers,Zeitoun,y,,,,,
Dave Evans ,Social Media Marketing: An Hour a Day,,,,,,
Dave Evans ,Social Media Marketing: The Next Generation of Business Engagment,,,,,,
Dave Gray,Selling to the VP of NO,y,,,,,
Dave Kerpen,Likeable Business,,,,,,
Dave Kerpen,Likeable Social Media,,,,,,
Dave Logan,Tribal Leadership,y,corporate culture,,,,
Dave Melton,Hire the American Dream,y,management,,,,
David Allen,Getting Things Done,y,productivity,,,,
David Baldacci,The Innocent,y,,,,,
David Brin,Sundiver,y,,,,,
David Cottrell,Monday Morning Leadership,y,management,,,,
David Cottrell,Time,,,,,,
David Cottrell,Tuesday Morning Coaching,,,,,,
David E. Perry,Hiring Greatness: How to Recruit Your Dream Team and Crush..,,,,,,
David Einhorn,Fooling Some of the People All of the Time,y,business biography,,,,
David Estes,The Dwellers Saga Boxed Set,,,,,,
David Feldman,Life's Imponderables,y,,,,,
David Feldman,The World of Imponderables,y,,,,,
David J. Anderson,Kanban,,,,,,
David J.C. McKay,Sustainable Energy Without the Hot Air,,,,,,
David Lagercrantz,The Girl in the Spider's Web: A Lisbeth Salander novel,y,,,,,
David Louis Edelman,Infoquake,y,,,,,
David Marquet,Turn the Ship Around!: A True Story of Turning Followers..,,,,,,
David Meerman Scott,Marketing Lessons from the Grateful Dead,y,,,,,
David Meerman Scott,The New Rules of Marketing and PR,,,,,,
David Meerman Scott,The New Rules of Sales & Service,,,,,,
David Meerman Scott,World Wide Rave,,,,,,
David Mitchell,Cloud Atlas,y,,,,,
David Ogilvy,Ogilvy on Advertising,y,marketing,,,,
David Quammen,The Reluctant Mr. Darwin,,,,,,
David Sedaris,Dress Your Family in Corduroy & Denim,y,,y,,,
David Sedaris,Let's Explore Diabetes with Owls ,y,,,,,
David Sedaris,Me Talk Pretty One Day,y,,,,,
David Sedaris,When You Are Engulfed In Flames,y,,,,,
David Shea,The Zen of CSS Design: Visual Enlightenment for the Web,y,,,,,
David Sibbit,Visual Meetings,,,,,,
David Straker,Rapid Problem Solving with Post-it Notes,g,,,,,
David Vinjamuri,Accidental Branding,n,,,,,
David Wong,Futuristic Violence and Fancy Suits: A Novel,,,,,,
David Wong,John Dies at the End,,,,,,
David Wong,"This Book Is Full of Spiders: Seriously, Dude, Don't Touch..",,,,,,
Debra Anastasia,Fire Down Below (Gynazule Book 1),d,,,,,
Denise Wymore,Tattoos: The Ultimate Proof of a Successful Brand,y,,,,,
Dennis Danvers,The Watch,y,,,,,
Dennis Foley,The Street and San Man's Guide to Chicago Eats,n,,,,,
Dennis L Price,Unleashing the Power of eBay,n,,,,,
Dennis O'Neil ,Sales Actualization,,,,,,
Denny Hatch ,"2,239 Tested Secrets for Direct Marketing Success",,,,,,
Denny Hatch ,Method Marketing,,,,,,
Derek Coburn,Networking is not Working,,,,,,
Derek Sivers,Anything You Want,y ,,,,,
Dev Patnaik,Wired to Care,,,,,,
Don Hinchliffe,Social Business By Design,n,,,,,
Don Peppers and Martha Rogers,Return on Customer,y,customer love,,,,
Don Peppers and Martha Rogers,The One to One Fieldbook,n,,,,,
Don Peppers and Martha Rogers,The One To One Future,n,,,,,
